symbol_name,img_path,bbox,conf
test/synth/src/notes/conti_001.png,test/split_pngs/현악취타-길군악_piri_133.png,"(40, 106, 63, 111)",0.999473
test/synth/src/notes/conti_002.png,test/split_pngs/여민락_daegeum_747.png,"(41, 58, 62, 62)",0.9997975
test/synth/src/notes/conti_003.png,test/split_pngs/여민락_haegeum_60.png,"(40, 102, 62, 107)",0.99952817
test/synth/src/notes/conti_004.png,test/split_pngs/여민락_haegeum_368.png,"(40, 57, 63, 62)",0.9996072
test/synth/src/notes/ee.png,test/split_pngs/현악취타-길타령_haegeum_38.png,"(32, 23, 73, 68)",0.999673
test/synth/src/notes/ee_d.png,test/split_pngs/현악취타-길타령_gayageum_14.png,"(27, 24, 78, 69)",0.99964976
test/synth/src/notes/ee_dd.png,test/split_pngs/현악취타-길타령_geomungo_38.png,"(29, 24, 77, 68)",0.999682
test/synth/src/notes/go.png,test/split_pngs/평조회상-군악_ajaeng_56.png,"(26, 25, 74, 67)",0.99967617
test/synth/src/notes/go_d.png,test/split_pngs/영산회상-군악_geomungo_78.png,"(27, 25, 76, 67)",0.9996877
test/synth/src/notes/go_u.png,test/split_pngs/영산회상-군악_daegeum_50.png,"(28, 26, 70, 63)",0.99960595
test/synth/src/notes/hwang_d.png,test/split_pngs/남창계면-평롱2_geomungo_134.png,"(27, 82, 73, 126)",0.9570065
test/synth/src/notes/hwang_d_ot.png,test/split_pngs/여민락_geomungo_44.png,"(28, 36, 74, 82)",0.9996566
test/synth/src/notes/hwang_dd_ot.png,test/split_pngs/여민락_geomungo_224.png,"(28, 37, 77, 84)",0.99965036
test/synth/src/notes/hwang_ot.png,test/split_pngs/여민락_ajaeng_65.png,"(33, 37, 70, 82)",0.9996048
test/synth/src/notes/hwang_u.png,test/split_pngs/여민락_daegeum_65.png,"(29, 35, 77, 81)",0.99964106
test/synth/src/notes/hwang_u_ot.png,test/split_pngs/평조회상-군악_ajaeng_192.png,"(28, 22, 74, 68)",0.9996633
test/synth/src/notes/hwang_uu.png,test/split_pngs/밑도드리_daegeum_255.png,"(26, 49, 79, 97)",0.9996257
test/synth/src/notes/hyeop.png,test/split_pngs/관악영산회상-중령산_ajaeng_68.png,"(32, 36, 74, 81)",0.9997015
test/synth/src/notes/hyeop_d.png,test/split_pngs/현악취타-별우조타령_geomungo_125.png,"(28, 25, 77, 67)",0.9539921
test/synth/src/notes/hyeop_u.png,test/split_pngs/관악영산회상-중령산_ajaeng_126.png,"(30, 37, 76, 79)",0.99963003
test/synth/src/notes/joong.png,test/split_pngs/여민락_ajaeng_44.png,"(27, 37, 72, 82)",0.99966365
test/synth/src/notes/joong_d.png,test/split_pngs/여민락_ajaeng_62.png,"(28, 38, 74, 81)",0.9996601
test/synth/src/notes/joong_dd.png,test/split_pngs/여민락_geomungo_84.png,"(28, 38, 76, 81)",0.99968636
test/synth/src/notes/joong_u.png,test/split_pngs/현악취타-길타령_haegeum_122.png,"(29, 25, 74, 68)",0.9929071
test/synth/src/notes/lim.png,test/split_pngs/여민락_ajaeng_41.png,"(27, 37, 76, 81)",0.9996626
test/synth/src/notes/lim_d.png,test/split_pngs/여민락_ajaeng_22.png,"(26, 39, 75, 81)",0.9996675
test/synth/src/notes/lim_dd.png,test/split_pngs/여민락_geomungo_40.png,"(29, 37, 77, 81)",0.9996272
test/synth/src/notes/lim_ddd.png,test/split_pngs/자진한잎-경풍년-변조두거_geomungo_74.png,"(25, 47, 74, 91)",0.9879637
test/synth/src/notes/lim_u.png,test/split_pngs/여민락_daegeum_41.png,"(28, 36, 77, 80)",0.99969286
test/synth/src/notes/mu.png,test/split_pngs/관악영산회상-중령산_ajaeng_62.png,"(28, 38, 75, 82)",0.9996816
test/synth/src/notes/mu_d.png,test/split_pngs/여민락_ajaeng_625.png,"(27, 38, 74, 80)",0.9995923
test/synth/src/notes/mu_dd.png,test/split_pngs/영산회상-염불도드리_geomungo_22.png,"(28, 73, 73, 116)",0.9994426
test/synth/src/notes/mu_u.png,test/split_pngs/관악영산회상-중령산_daegeum_156.png,"(28, 38, 75, 77)",0.9996647
test/synth/src/notes/nam.png,test/split_pngs/여민락_ajaeng_40.png,"(32, 35, 70, 81)",0.9996944
test/synth/src/notes/nam_d.png,test/split_pngs/여민락_ajaeng_296.png,"(28, 39, 72, 81)",0.99966437
test/synth/src/notes/nam_dd.png,test/split_pngs/여민락_geomungo_60.png,"(29, 37, 74, 80)",0.9996575
test/synth/src/notes/nam_u.png,test/split_pngs/여민락_daegeum_1324.png,"(29, 35, 73, 81)",0.99967384
test/synth/src/notes/pause_001.png,test/split_pngs/현악취타-길군악_piri_117.png,"(31, 51, 71, 83)",0.99964684
test/synth/src/notes/pause_002.png,test/split_pngs/영산회상-중령산_piri_45.png,"(34, 47, 67, 73)",0.99968284
test/synth/src/notes/pause_003.png,test/split_pngs/평조회상-상령산_ajaeng_20.png,"(31, 43, 71, 74)",0.99928313
test/synth/src/notes/pause_004.png,test/split_pngs/여민락_haegeum_625.png,"(51, 83, 86, 106)",0.99925715
test/synth/src/notes/pause_005_.png,test/split_pngs/여민락_haegeum_1905.png,"(55, 83, 85, 106)",0.99932146
test/synth/src/notes/pause_006.png,test/split_pngs/영산회상-상령산_haegeum_20.png,"(31, 43, 70, 74)",0.999536
test/synth/src/notes/pause_007.png,test/split_pngs/관악영산회상-상현도드리_piri_137.png,"(31, 44, 72, 77)",0.99964476
test/synth/src/notes/tae.png,test/split_pngs/여민락_ajaeng_102.png,"(30, 38, 75, 79)",0.9997053
test/synth/src/notes/tae_d.png,test/split_pngs/여민락_geomungo_74.png,"(27, 38, 77, 80)",0.9997336
test/synth/src/notes/tae_dd.png,test/split_pngs/여민락_geomungo_120.png,"(28, 38, 78, 80)",0.9997129
test/synth/src/notes/tae_u.png,test/split_pngs/관악영산회상-군악_haegeum_431.png,"(29, 25, 76, 65)",0.99971515
test/synth/src/symbols/OR.png,test/split_pngs/여민락_geomungo_661.png,"(49, 2, 54, 102)",0.9998031
test/synth/src/symbols/accent_001.png,test/split_pngs/여민락_daegeum_81.png,"(77, 90, 92, 106)",0.99956393
test/synth/src/symbols/bend-down_001.png,test/split_pngs/여창계면-중거2_geomungo_115.png,"(42, 91, 69, 125)",0.99964136
test/synth/src/symbols/bend-down_002.png,test/split_pngs/웃도드리_geomungo_71.png,"(72, 32, 99, 84)",0.99970025
test/synth/src/symbols/bend-down_003.png,test/split_pngs/웃도드리_geomungo_347.png,"(75, 45, 98, 91)",0.9994065
